Name,Platform,Publisher,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Year,Genre
Wii Sports,Wii,Nintendo  ,7.7,,41.36,29.02,3.77,8.51,82.65,2006,Sports
Mario Kart 8 Deluxe,NS,Nintendo  ,9.3,,5.05,4.98,2.11,0.91,13.05,2017,Racing
Super Mario Bros.,NES,Nintendo  ,10,8.2,29.08,3.58,6.81,0.77,40.24,1985,Platform
Mario Kart Wii,Wii,Nintendo  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98,2008,Racing
Tetris,GB,Nintendo  ,,,23.2,2.26,4.22,0.58,30.26,1989,Puzzle
Wii Sports Resort,Wii,Nintendo  ,8,8.8,15.61,10.99,3.29,3.02,32.9,2009,Sports
Super Smash Bros. Ultimate,NS,Nintendo  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95,2018,Fighting
Pokémon Red / Green / Blue Version,GB,Nintendo  ,9.4,,11.27,8.89,10.22,1,31.37,1998,Role-Playing
The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,9.9,10,4.54,2.94,1.26,0.73,9.46,2017,Action-Adventure
New Super Mario Bros.,DS,Nintendo  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85,2006,Platform
New Super Mario Bros. Wii,Wii,Nintendo  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51,2009,Platform
Duck Hunt,NES,Nintendo  ,,,26.93,0.63,0.28,0.47,28.31,1985,Shooter
Wii Play,Wii,Nintendo  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92,2007,Misc
Super Mario Odyssey,NS,Nintendo  ,9.9,,5.1,3.75,2.02,0.84,11.71,2017,Platform
Kinect Adventures!,X360,Microsoft Game Studios  ,6.7,,15.09,4.97,0.24,1.81,22.1,2010,Party
Nintendogs,DS,Nintendo  ,8.4,,9.05,10.96,1.93,2.74,24.68,2005,Simulation
Mario Kart DS,DS,Nintendo  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26,2005,Racing
Pokémon Gold / Silver Version,GB,Nintendo  ,9.2,,9,6.18,7.2,0.71,23.1,2000,Role-Playing
Terraria,PC,Re-Logic  ,8.8,,,0.13,,0.01,0.14,2011,Platform
Marvel's Spider-Man,PS4,Sony Interactive Entertainment  ,9.1,,3.64,3.39,0.32,1.41,8.76,2018,Action-Adventure
Wii Fit,Wii,Nintendo  ,7.9,,8.92,8.03,3.6,2.15,22.7,2008,Sports
Wii Fit Plus,Wii,Nintendo  ,8,,9.01,8.51,2.53,1.76,21.81,2009,Sports
God of War (2018),PS4,Sony Interactive Entertainment  ,9.7,10,2.83,2.17,0.13,1.02,6.15,2018,Action
Super Mario World,SNES,Nintendo  ,8.5,,12.78,3.75,3.54,0.55,20.61,1991,Platform
Grand Theft Auto V,PS3,Rockstar Games  ,9.4,,6.37,9.85,0.99,3.12,20.32,2013,Action
Super Mario Party,NS,Nintendo  ,7.3,,2.12,1.64,0.85,0.36,4.97,2018,Party
Grand Theft Auto V,PS4,Rockstar Games  ,9.7,,6.06,9.71,0.6,3.02,19.39,2014,Action
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment  ,9.1,8,2.2,2.43,0.28,0.92,5.82,2017,Action-Adventure
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,8.1,,4.74,9.21,4.16,2.04,20.16,2006,Misc
Mario Kart 7,3DS,Nintendo  ,8.2,,6.03,5.35,3,1.11,15.49,2011,Racing
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment  ,9.2,,4.49,3.93,0.21,1.7,10.33,2016,Action
The Last of Us Remastered,PS4,Sony Computer Entertainment  ,9.5,,2.7,2.86,0.11,1.1,6.77,2014,Action-Adventure
Super Mario Land,GB,Nintendo  ,,,10.83,2.71,4.18,0.42,18.14,1989,Platform
Pokémon Diamond / Pearl Version,DS,Nintendo  ,8.6,,6.38,4.47,6.04,1.36,18.25,2007,Role-Playing
Grand Theft Auto: San Andreas,PS2,Rockstar Games  ,9.5,,9.43,0.4,0.41,10.57,20.81,2004,Action
Super Mario Bros. 3,NES,Nintendo  ,,,9.54,3.44,3.84,0.46,17.28,1990,Platform
Pokémon X/Y,3DS,Nintendo  ,8.9,9.3,5.68,5.06,4.4,0.99,16.13,2013,Role-Playing
Pokémon Sun/Moon,3DS,Nintendo  ,9,,6.02,4.34,3.82,0.99,15.17,2016,Role-Playing
Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,8.8,,6.06,3.9,5.38,0.5,15.85,2003,Role-Playing
Grand Theft Auto: Vice City,PS2,Rockstar Games  ,9.6,,8.41,5.49,0.47,1.78,16.15,2002,Action
The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment  ,,,0.29,0.55,,0.07,0.91,2015,Role-Playing
Grand Theft Auto V,X360,Rockstar Games  ,,,9.06,5.33,0.06,1.42,15.86,2013,Action
Pokémon Black / White Version,DS,Nintendo  ,8.6,9,5.51,3.2,5.66,0.8,15.18,2011,Role-Playing
Call of Duty: Black Ops 3,PS4,Activision  ,,,6.18,6.05,0.41,2.44,15.09,2015,Shooter
Counter-Strike: Source,PC,VU Games  ,9.3,,,0.07,,0.01,0.08,2004,Shooter
Sonic the Hedgehog,GEN,Sega  ,,,3.03,0.91,0.26,0.13,4.34,1991,Platform
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,9.3,,6.85,5.09,1.87,1.16,14.98,2001,Racing
Brain Age 2: More Training in Minutes a Day,DS,Nintendo  ,8,,3.43,5.36,5.32,1.18,15.29,2007,Misc
Call of Duty: Modern Warfare 3,X360,Activision  ,8.7,,9.07,4.29,0.13,1.33,14.82,2011,Shooter
Call of Duty: Black Ops,X360,Activision  ,8.8,,9.76,3.73,0.11,1.14,14.74,2010,Shooter
Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,8.7,,5.89,5.04,3.12,0.59,14.64,1999,Role-Playing
Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo  ,,,4.78,3.98,3.15,0.82,12.73,2014,Role-Playing
Halo 3,X360,Microsoft Game Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13,2007,Shooter
Red Dead Redemption 2,PS4,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94,2018,Action-Adventure
Call of Duty: Black Ops II,X360,Activision  ,,,8.27,4.32,0.07,1.2,13.86,2012,Shooter
Call of Duty: Black Ops II,PS3,Activision  ,,,4.99,5.88,0.65,2.28,13.8,2012,Shooter
Splatoon 2,NS,Nintendo  ,8.2,,1.9,1.8,3.01,0.34,7.04,2017,Shooter
Call of Duty: Modern Warfare 2,X360,Activision  ,9.5,9,8.54,3.63,0.08,1.28,13.53,2009,Shooter
New Super Mario Bros. 2,3DS,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33,2012,Platform
Call of Duty: WWII,PS4,Activision  ,8,,4.67,6.21,0.4,2.12,13.4,2017,Shooter
Call of Duty: Modern Warfare 3,PS3,Activision  ,8.8,,5.54,5.78,0.49,1.54,13.35,2011,Shooter
Super Smash Bros. Brawl,Wii,Nintendo  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91,2008,Fighting
Grand Theft Auto III,PS2,Rockstar Games  ,9.5,,6.99,4.51,0.3,1.3,13.1,2001,Action
Portal 2,PC,Valve  ,9.7,,0.33,0.33,,0.1,0.75,2011,Shooter
Animal Crossing: New Leaf,3DS,Nintendo  ,8.6,,2.46,3.06,4.9,0.48,10.9,2013,Simulation
Minecraft,X360,Microsoft Studios  ,,,5.96,2.94,0.02,0.9,9.82,2013,Misc
Gran Turismo Sport,PS4,Sony Interactive Entertainment  ,,,0.63,2.35,0.24,0.54,3.77,2017,Racing
Super Mario 3D Land,3DS,Nintendo  ,8.9,,5.1,3.46,2.15,0.85,11.56,2011,Platform
Super Mario Galaxy,Wii,Nintendo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4,2007,Platform
Pokémon Heart Gold / Soul Silver Version,DS,Nintendo  ,8.6,,4.34,2.72,3.96,0.76,11.78,2010,Role-Playing
Call of Duty: Black Ops,PS3,Activision  ,8.7,,6.01,4.4,0.48,1.78,12.67,2010,Shooter
Grand Theft Auto V,PC,Rockstar Games  ,,,0.48,0.76,,0.1,1.33,2015,Action
The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment  ,,,1.48,2.82,0.28,0.81,5.39,2015,Role-Playing
Diablo III,PC,Blizzard Entertainment  ,9,,2.5,2.23,,0.53,5.26,2012,Role-Playing
Half-Life 2,PC,VU Games  ,9.7,,2.28,0.02,0.08,,2.37,2004,Shooter
Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,8.3,,4.34,2.65,3.15,0.35,10.49,2004,Role-Playing
World of Warcraft,PC,Blizzard Entertainment  ,9.2,8,0.12,6.24,,,6.35,2004,MMO
Gran Turismo 5,PS3,Sony Computer Entertainment  ,8.3,,2.96,4.87,0.81,2.1,10.75,2010,Racing
Super Mario 64,N64,Nintendo  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89,1996,Platform
FIFA 18,PS4,EA Sports  ,8.3,,1.27,8.64,0.15,1.73,11.8,2017,Sports
Gran Turismo 4,PS2,Sony Computer Entertainment  ,8.7,,3.01,0.01,1.1,7.53,11.66,2005,Racing
